name_x,name_y,count
roast chicken,sea tag oysters,28
apple tartlets,stuffed olives,15
blackberry pie,roast chicken,13
roast chicken,potage lamballe,11
potage lamballe,sea tag oysters,11
prunelle brandy,stuffed olives,9
potage lamballe,timbale turenne,8
roast chicken,timbale turenne,8
prunelle brandy,apple tartlets,8
blackberry pie,timbale turenne,6
scrambled eggs,buttered toast,5
early june peas,stuffed olives,4
stewed rhubarb,florida orange,4
sea tag oysters,timbale turenne,4
blackberry pie,sea tag oysters,4
blackberry pie,potage lamballe,4
stuffed olives,banana fritters,3
maryland club,cup clam broth,3
buttered toast,pies in season,3
"omelet, plain","onions, creamed",2
buttered toast,banana fritters,2
maryland club,"iced tea, glass",2
cream of wheat,soft clam stew,2
clam pan roast,soft clam stew,2
potage lamballe,comtesse salade,2
creme caramel,cold duckling,2
creamed spinach,peach ice cream,2
deviled crabs,stuffed olives,2
comtesse salade,sea tag oysters,2
roast chicken,comtesse salade,2
fried bluefish,broiled codfish,1
iced cucumbers,cafe demi tasse,1
scrambled eggs,banana fritters,1
stewed rhubarb,sorbet cognac,1
cold consomme,roast chicken,1
roast chicken,"chablis, white",1
cold consomme,"chablis, white",1
raspberry jelly,cream of wheat,1
stuffed tomato,"potatoes, baked",1
stuffed tomato,phila ice cream,1
phila ice cream,"potatoes, baked",1
seatag oysters,cold duckling,1
eggs with bacon,cream of wheat,1
eggs with bacon,soft clam stew,1
italian salad,florida orange,1
stuffed olives,split pea soup,1
split pea soup,stewarts 1779,1
stuffed olives,stewarts 1779,1
early june peas,coffee parfait,1
coffee parfait,stuffed olives,1
roast chicken,"chapon, nicoise",1
chicken wo main,long jann tea,1
scrambled eggs,chicken wo main,1
scrambled eggs,long jann tea,1
french pastry,puree of peas,1
salted pecans,stuffed tomato,1
salted pecans,buttered toast,1
cracked wheat,salted pecans,1
stuffed tomato,buttered toast,1
cracked wheat,stuffed tomato,1
cracked wheat,buttered toast,1
shirred eggs ,buttered toast,1
salted pecans,moderne salad,1
peach ice cream,excelsior salad,1
"omelet, plain","iced tea, glass",1
"iced tea, glass","onions, creamed",1
"omelet, plain",maryland club,1
maryland club,"onions, creamed",1
clam pan roast,cream of wheat,1
english walnuts,salt mackerel,1
english walnuts,buttered toast,1
broiled salmon,egg a la wilson,1
soft clam stew,broiled chickn,1
cold consomme,soft clam stew,1
cold consomme,broiled chickn,1
salt mackerel,buttered toast,1
soft clam stew,cold duckling,1
cold duckling,"thon, bearnaise",1
creme caramel,"thon, bearnaise",1
creme caramel,soft clam stew,1
anheuser busch,mils and cream,1
scrambled eggs,chicken halibut,1
"chicken, half",creme caramel,1
casawba melon,broiled smelts,1
florida orange,sorbet kirsch,1
sponge pudding,slic cucumber,1
anheuser busch,stuffed olives,1
salted pecans,yvette sorbet,1
stewed rhubarb,chicken brott,1
deviled crabs,buttered toast,1
scrambled eggs,deviled crabs,1
prunelle brandy,all wine cups,1
apple tartlets,all wine cups,1
stuffed olives,all wine cups,1
anheuser busch,prunelle brandy,1
deviled crabs,banana fritters,1
"potatoes, baked",magaux claret,1
broiled salmon,chocolate (cup),1
scrambled eggs,stewed rhubarb,1
soft clam stew,"thon, bearnaise",1
